backend,run_id,candidate_id,server_state_sha,serve_config,serve_params_json,server_cmd,workload,input_len,output_len,max_concurrency,request_rate,seed,repeat,valid,failure_reason,completed,failed,duration_sec,request_throughput,output_throughput,total_throughput,output_tok_s_per_gpu,total_tok_s_per_gpu,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_e2e_ms,p95_e2e_ms,p99_e2e_ms,source_path
sglang,qwen3-a3b-4gpu-parallelism,a14324327f8c,0675252c4759,sglang_tp4,"{""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dtype"":""bfloat16"",""max_running_requests"":128,""mem_fraction_static"":0.85,""tp"":4}",.backends/sglang/bin/python -m sglang.launch_server --model-path Qwen/Qwen3-30B-A3B --host 127.0.0.1 --port 19101 --dtype bfloat16 --trust-remote-code --tp 4 --context-length 8192 --mem-fraction-static 0.85 --disable-radix-cache --max-running-requests 128 --chunked-prefill-size 8192,prompt256_out128_conc16_seed0_rep0,256,128,16,inf,0,0,True,,32,0,4.256602075998671,7.517733494619004,515.9044610682291,1395.009421595239,128.97611526705728,348.75235539880975,257.92663636093494,208.6930219666101,,447.92505114804953,21.72372416622493,23.45004761792433,,25.977446849392436,1696.2542677720194,,3257.4803434603386,results/qwen3-a3b-4gpu-parallelism/raw/sglang/sglang_tp4/prompt256_out128_conc16_seed0_rep0/result.json
sglang,qwen3-a3b-4gpu-parallelism,a14324327f8c,95f7780d8180,sglang_tp4,"{""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dtype"":""bfloat16"",""max_running_requests"":128,""mem_fraction_static"":0.85,""tp"":4}",.backends/sglang/bin/python -m sglang.launch_server --model-path Qwen/Qwen3-30B-A3B --host 127.0.0.1 --port 19101 --dtype bfloat16 --trust-remote-code --tp 4 --context-length 8192 --mem-fraction-static 0.85 --disable-radix-cache --max-running-requests 128 --chunked-prefill-size 8192,prompt256_out128_conc4_seed0_rep0,256,128,4,inf,0,0,True,,32,0,7.323752119904384,4.369345040096439,299.8463033766181,810.7865890028954,74.96157584415452,202.69664725072386,81.87210859978222,75.23834652965888,,165.34488553996198,12.084482662679859,11.896706849182845,,15.849671045097672,876.9694459078892,,1667.7057952119503,results/qwen3-a3b-4gpu-parallelism/raw/sglang/sglang_tp4/prompt256_out128_conc4_seed0_rep0/result.json
sglang,qwen3-a3b-4gpu-parallelism,a14324327f8c,7259e83ff328,sglang_tp4,"{""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dtype"":""bfloat16"",""max_running_requests"":128,""mem_fraction_static"":0.85,""tp"":4}",.backends/sglang/bin/python -m sglang.launch_server --model-path Qwen/Qwen3-30B-A3B --host 127.0.0.1 --port 19101 --dtype bfloat16 --trust-remote-code --tp 4 --context-length 8192 --mem-fraction-static 0.85 --disable-radix-cache --max-running-requests 128 --chunked-prefill-size 8192,prompt256_out128_conc64_seed0_rep0,256,128,64,inf,0,0,True,,32,0,3.1869999839691445,10.040790762774542,689.0492660954029,1863.1942359173509,172.26231652385073,465.7985589793377,685.4025302818627,683.8167995447293,,710.4956264200155,22.664690402876232,23.114546337659846,,24.518367962295528,2159.58004096683,,3143.296167163644,results/qwen3-a3b-4gpu-parallelism/raw/sglang/sglang_tp4/prompt256_out128_conc64_seed0_rep0/result.json
sglang,qwen3-a3b-4gpu-parallelism,a14324327f8c,4a0a41097e36,sglang_tp4,"{""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dtype"":""bfloat16"",""max_running_requests"":128,""mem_fraction_static"":0.85,""tp"":4}",.backends/sglang/bin/python -m sglang.launch_server --model-path Qwen/Qwen3-30B-A3B --host 127.0.0.1 --port 19101 --dtype bfloat16 --trust-remote-code --tp 4 --context-length 8192 --mem-fraction-static 0.85 --disable-radix-cache --max-running-requests 128 --chunked-prefill-size 8192,prompt4096_out128_conc16_seed0_rep0,4096,128,16,inf,0,0,True,,32,0,15.351692502968945,2.0844607194816698,143.04611687442957,4922.584267850931,35.76152921860739,1230.6460669627327,2501.5674717469665,1228.243169025518,,5597.749780443264,68.9539023202469,78.90595722280483,,121.50324612302181,7242.576189171814,,14335.041130088503,results/qwen3-a3b-4gpu-parallelism/raw/sglang/sglang_tp4/prompt4096_out128_conc16_seed0_rep0/result.json
sglang,qwen3-a3b-4gpu-parallelism,a14324327f8c,644ac91be4d4,sglang_tp4,"{""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dtype"":""bfloat16"",""max_running_requests"":128,""mem_fraction_static"":0.85,""tp"":4}",.backends/sglang/bin/python -m sglang.launch_server --model-path Qwen/Qwen3-30B-A3B --host 127.0.0.1 --port 19101 --dtype bfloat16 --trust-remote-code --tp 4 --context-length 8192 --mem-fraction-static 0.85 --disable-radix-cache --max-running-requests 128 --chunked-prefill-size 8192,prompt4096_out128_conc4_seed0_rep0,4096,128,4,inf,0,0,True,,32,0,18.708908760920167,1.710415097370229,117.37723605703198,4039.2521533833815,29.344309014257995,1009.8130383458454,698.2821788697038,647.7096550515853,,1715.4564191319514,27.55052668948618,22.873350295146626,,76.6820733798134,2300.809155905881,,5668.78968569916,results/qwen3-a3b-4gpu-parallelism/raw/sglang/sglang_tp4/prompt4096_out128_conc4_seed0_rep0/result.json
sglang,qwen3-a3b-4gpu-parallelism,a14324327f8c,109c1181f3ae,sglang_tp4,"{""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dtype"":""bfloat16"",""max_running_requests"":128,""mem_fraction_static"":0.85,""tp"":4}",.backends/sglang/bin/python -m sglang.launch_server --model-path Qwen/Qwen3-30B-A3B --host 127.0.0.1 --port 19101 --dtype bfloat16 --trust-remote-code --tp 4 --context-length 8192 --mem-fraction-static 0.85 --disable-radix-cache --max-running-requests 128 --chunked-prefill-size 8192,prompt4096_out128_conc64_seed0_rep0,4096,128,64,inf,0,0,True,,32,0,14.160901283030398,2.259743173151482,155.07487525752043,5336.524737345546,38.76871881438011,1334.1311843363865,7507.873751746956,7777.313215949107,,11692.242448260076,113.23230440337602,91.17069120655269,,310.1604419606017,13153.53824810154,,14124.811573351035,results/qwen3-a3b-4gpu-parallelism/raw/sglang/sglang_tp4/prompt4096_out128_conc64_seed0_rep0/result.json
sglang,qwen3-a3b-4gpu-parallelism,ecde138830b5,09a06e21b4f2,sglang_tp4_dpattn,"{""attention_backend"":""triton"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dp"":4,""dtype"":""bfloat16"",""enable_dp_attention"":true,""max_running_requests"":128,""mem_fraction_static"":0.85,""tp"":4}",.backends/sglang/bin/python -m sglang.launch_server --model-path Qwen/Qwen3-30B-A3B --host 127.0.0.1 --port 19101 --dtype bfloat16 --trust-remote-code --tp 4 --context-length 8192 --mem-fraction-static 0.85 --disable-radix-cache --max-running-requests 128 --chunked-prefill-size 8192 --attention-backend triton --dp 4 --enable-dp-attention,prompt256_out128_conc16_seed0_rep0,256,128,16,inf,0,0,True,,32,0,5.005670070066117,6.392750531314449,438.702505211454,1186.2547704670374,109.6756263028635,296.56369261675934,284.8840992919577,253.91794502502307,,444.4338132219855,25.72650854619714,27.22089220014691,,35.43135051929576,2001.017736038193,,3773.05262091104,results/qwen3-a3b-4gpu-parallelism/raw/sglang/sglang_tp4_dpattn/prompt256_out128_conc16_seed0_rep0/result.json
sglang,qwen3-a3b-4gpu-parallelism,ecde138830b5,d4b92d1f00e6,sglang_tp4_dpattn,"{""attention_backend"":""triton"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dp"":4,""dtype"":""bfloat16"",""enable_dp_attention"":true,""max_running_requests"":128,""mem_fraction_static"":0.85,""tp"":4}",.backends/sglang/bin/python -m sglang.launch_server --model-path Qwen/Qwen3-30B-A3B --host 127.0.0.1 --port 19101 --dtype bfloat16 --trust-remote-code --tp 4 --context-length 8192 --mem-fraction-static 0.85 --disable-radix-cache --max-running-requests 128 --chunked-prefill-size 8192 --attention-backend triton --dp 4 --enable-dp-attention,prompt256_out128_conc4_seed0_rep0,256,128,4,inf,0,0,True,,32,0,9.647235894924961,3.317012287098107,227.62996820210762,615.5130925246425,56.907492050526905,153.87827313116063,188.75095315888757,141.20210002874956,,489.581441940973,14.898638927694513,12.88692387069892,,30.736902843463465,1161.1926906225563,,2523.295912073227,results/qwen3-a3b-4gpu-parallelism/raw/sglang/sglang_tp4_dpattn/prompt256_out128_conc4_seed0_rep0/result.json
sglang,qwen3-a3b-4gpu-parallelism,ecde138830b5,2e106f1b71b3,sglang_tp4_dpattn,"{""attention_backend"":""triton"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dp"":4,""dtype"":""bfloat16"",""enable_dp_attention"":true,""max_running_requests"":128,""mem_fraction_static"":0.85,""tp"":4}",.backends/sglang/bin/python -m sglang.launch_server --model-path Qwen/Qwen3-30B-A3B --host 127.0.0.1 --port 19101 --dtype bfloat16 --trust-remote-code --tp 4 --context-length 8192 --mem-fraction-static 0.85 --disable-radix-cache --max-running-requests 128 --chunked-prefill-size 8192 --attention-backend triton --dp 4 --enable-dp-attention,prompt256_out128_conc64_seed0_rep0,256,128,64,inf,0,0,True,,32,0,3.0818366459570825,10.383418615642496,712.5621024984662,1926.7731168651605,178.14052562461654,481.69327921629014,658.7566527123272,668.9508039271459,,691.3012891553808,20.84382128796647,21.309677606779218,,22.49200370037995,2039.7584684069443,,3021.237768486608,results/qwen3-a3b-4gpu-parallelism/raw/sglang/sglang_tp4_dpattn/prompt256_out128_conc64_seed0_rep0/result.json
sglang,qwen3-a3b-4gpu-parallelism,ecde138830b5,dcb5dda966a7,sglang_tp4_dpattn,"{""attention_backend"":""triton"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dp"":4,""dtype"":""bfloat16"",""enable_dp_attention"":true,""max_running_requests"":128,""mem_fraction_static"":0.85,""tp"":4}",.backends/sglang/bin/python -m sglang.launch_server --model-path Qwen/Qwen3-30B-A3B --host 127.0.0.1 --port 19101 --dtype bfloat16 --trust-remote-code --tp 4 --context-length 8192 --mem-fraction-static 0.85 --disable-radix-cache --max-running-requests 128 --chunked-prefill-size 8192 --attention-backend triton --dp 4 --enable-dp-attention,prompt4096_out128_conc16_seed0_rep0,4096,128,16,inf,0,0,True,,32,0,14.670861612074077,2.1811943187892995,149.68446012691567,5151.026708465855,37.42111503172892,1287.7566771164638,2051.779469504254,1301.4110694639385,,5099.591908132425,69.77638338726689,76.73218837877832,,106.31217166442762,6781.67361002852,,13361.15219802712,results/qwen3-a3b-4gpu-parallelism/raw/sglang/sglang_tp4_dpattn/prompt4096_out128_conc16_seed0_rep0/result.json
